name,copper,fiber,zinc,vitamin b12,niacin,choline,energy,fat,carbohydrate,vitamin a,vitamin e,vitamin d,vitamin k,protein,phosphorus,"sugars, added",vitamin c,sodium,selenium,thiamin,manganese,folate,omega 6,calcium,riboflavin,vitamin b6,magnesium,iron,cholesterol,phytosterols,pantothenic acid,fluoride,potassium,fatty acids,omega 3
"Pork, fresh, variety meats and by-products, kidneys, cooked, braised",0.00683,0.0,0.0415,0.0779,0.05785,0.0,1.51,0.047,0.0,0.78,0.0,0.0,0.0,0.254,2.4,0.0,0.106,0.8,3.115,0.00396,0.00149,0.41,0.0025,0.13,0.01586,0.0046,0.18,0.0529,4.8,0.0,0.02873,0.0,1.43,0.0151,0.0
"Beets, raw",0.00075,0.028,0.0035,0.0,0.00334,0.06,0.43,0.0017,0.0956,0.02,0.0004,0.0,0.002,0.0161,0.4,0.0676,0.049,0.78,0.007,0.00031,0.00329,1.09,0.00055,0.16,0.0004,0.00067,0.23,0.008,0.0,0.25,0.00155,0.0,3.25,0.00027,0.0
"Broccoli, raw",0.00049,0.026,0.0041,0.0,0.00639,0.187,0.34,0.0037,0.0664,0.31,0.0078,0.0,1.016,0.0282,0.66,0.017,0.892,0.33,0.025,0.00071,0.0021,0.63,0.00017,0.47,0.00117,0.00175,0.21,0.0073,0.0,0.0,0.00573,0.0,3.16,0.00039,0.0
"Brussels sprouts, raw",0.0007,0.038,0.0042,0.0,0.00745,0.191,0.43,0.003,0.0895,0.38,0.0088,0.0,1.77,0.0338,0.69,0.022,0.85,0.25,0.016,0.00139,0.00337,0.61,0.00045,0.42,0.0009,0.00219,0.23,0.014,0.0,0.24,0.00309,0.0,3.89,0.00062,0.0
"Cabbage, red, raw",0.00017,0.021,0.0022,0.0,0.00418,0.171,0.31,0.0016,0.0737,0.56,0.0011,0.0,0.382,0.0143,0.3,0.0383,0.57,0.27,0.006,0.00064,0.00243,0.18,0.00034,0.45,0.00069,0.00209,0.16,0.008,0.0,0.0,0.00147,0.0,2.43,0.00021,0.0
"Carrots, raw",0.00045,0.028,0.0024,0.0,0.00983,0.088,0.41,0.0024,0.0958,8.35,0.0066,0.0,0.132,0.0093,0.35,0.0474,0.059,0.69,0.001,0.00066,0.00143,0.19,0.00115,0.33,0.00058,0.00138,0.12,0.003,0.0,0.0,0.00273,0.032,3.2,0.00037,0.0
"Cauliflower, raw",0.00039,0.02,0.0027,0.0,0.00507,0.443,0.25,0.0028,0.0497,0.0,0.0008,0.0,0.155,0.0192,0.44,0.0191,0.482,0.3,0.006,0.0005,0.00155,0.57,0.00016,0.22,0.0006,0.00184,0.15,0.0042,0.0,0.18,0.00667,0.01,2.99,0.0013,0.00015
"Celery, raw",0.00035,0.016,0.0013,0.0,0.0032,0.061,0.16,0.0017,0.0297,0.22,0.0027,0.0,0.293,0.0069,0.24,0.0134,0.031,0.8,0.004,0.00021,0.00103,0.36,0.00079,0.4,0.00057,0.00074,0.11,0.002,0.0,0.06,0.00246,0.04,2.6,0.00042,0.0
"Chard, swiss, cooked, boiled, drained, without salt",0.00163,0.021,0.0033,0.0,0.0036,0.287,0.2,0.0008,0.0413,3.06,0.0189,0.0,3.273,0.0188,0.33,0.011,0.18,1.79,0.009,0.00034,0.00334,0.09,0.00025,0.58,0.00086,0.00085,0.86,0.0226,0.0,0.0,0.00163,0.0,5.49,0.00012,0.0
"Cucumber, with peel, raw",0.00041,0.005,0.002,0.0,0.00098,0.06,0.15,0.0011,0.0363,0.05,0.0003,0.0,0.164,0.0065,0.24,0.0167,0.028,0.02,0.003,0.00027,0.00079,0.07,0.00028,0.16,0.00033,0.0004,0.13,0.0028,0.0,0.14,0.00259,0.013,1.47,0.00037,0.0
"Eggplant, cooked, boiled, drained, without salt",0.00059,0.025,0.0012,0.0,0.006,0.094,0.35,0.0023,0.0873,0.02,0.0041,0.0,0.029,0.0083,0.15,0.032,0.013,0.01,0.001,0.00076,0.00113,0.14,0.00078,0.06,0.0002,0.00086,0.11,0.0025,0.0,0.0,0.00075,0.0,1.23,0.00044,0.0
"Garlic, raw",0.00299,0.021,0.0116,0.0,0.007,0.232,1.49,0.005,0.3306,0.0,0.0008,0.0,0.017,0.0636,1.53,0.01,0.312,0.17,0.142,0.002,0.01672,0.03,0.00229,1.81,0.0011,0.01235,0.25,0.017,0.0,0.0,0.00596,0.0,4.01,0.00089,0.0
"Leeks, (bulb and lower leaf-portion), raw",0.0012,0.018,0.0012,0.0,0.004,0.095,0.61,0.003,0.1415,0.83,0.0092,0.0,0.47,0.015,0.35,0.039,0.12,0.2,0.01,0.0006,0.00481,0.64,0.00067,0.59,0.0003,0.00233,0.28,0.021,0.0,0.0,0.0014,0.0,1.8,0.0004,0.0
"Lettuce, cos or romaine, raw",0.00048,0.021,0.0023,0.0,0.00313,0.099,0.17,0.003,0.0329,4.36,0.0013,0.0,1.025,0.0123,0.3,0.0119,0.04,0.08,0.004,0.00072,0.00155,1.36,0.00047,0.33,0.00067,0.00074,0.14,0.0097,0.0,0.0,0.00142,0.0,2.47,0.00039,0.0
"Onions, sweet, raw",0.00056,0.009,0.0013,0.0,0.00133,0.055,0.32,0.0008,0.0755,0.0,0.0002,0.0,0.003,0.008,0.27,0.0502,0.048,0.08,0.005,0.00041,0.00076,0.0,0.0,0.2,0.0002,0.0013,0.09,0.0026,0.0,0.0,0.00098,0.0,1.19,0.0,0.0
"Parsley, fresh",0.00149,0.033,0.0107,0.0,0.01313,0.128,0.36,0.0079,0.0633,4.21,0.0075,0.0,16.4,0.0297,0.58,0.0085,1.33,0.56,0.001,0.00086,0.0016,1.52,0.00115,1.38,0.00098,0.0009,0.5,0.062,0.0,0.05,0.004,0.0,5.54,0.00132,0.0
"Potatoes, baked, skin, without salt",0.00817,0.079,0.0049,0.0,0.03065,0.31,1.98,0.001,0.4606,0.01,0.0004,0.0,0.017,0.0429,1.01,0.014,0.135,0.21,0.007,0.00122,0.00616,0.22,0.00032,0.34,0.00106,0.00614,0.43,0.0704,0.0,0.0,0.00857,0.0,5.73,0.00026,0.0
"Pumpkin, cooked, boiled, drained, without salt",0.00091,0.011,0.0023,0.0,0.00413,0.062,0.2,0.0007,0.049,2.88,0.008,0.0,0.008,0.0072,0.3,0.0208,0.047,0.01,0.002,0.00031,0.00089,0.09,2e-05,0.15,0.00078,0.00044,0.09,0.0057,0.0,0.0,0.00201,0.0,2.3,0.00037,0.0
"Radishes, raw",0.0005,0.016,0.0028,0.0,0.00254,0.065,0.16,0.001,0.034,0.0,0.0,0.0,0.013,0.0068,0.2,0.0186,0.148,0.39,0.006,0.00012,0.00069,0.25,0.00017,0.25,0.00039,0.00071,0.1,0.0034,0.0,0.07,0.00165,0.06,2.33,0.00032,0.0
